client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly
10.3.14.101,104.17.123.55,49769,443,6,981,347,634,840347,24375,815972,840347,24375,815972,1710448898117871000,1710448900305927000,2188056000,2,1,1,980,1,0,161,1,0303,15,16,1,h2;http/1.1,1301;1302;1303;c02b;c02f;c02c;c030;cca9;cca8;c013;c014;009c;009d;002f;0035,0033;0000;0012;002b;002d;0017;fe0d;0023;001b;ff01;4469;000d;000a;000b;0005;0010,856.623,0.98282915,1
10.3.14.101,101.99.94.234,49764,8789,6,2,2,0,120,120,0,120,120,0,1710448905355465000,1710448905355465000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0
10.3.14.101,104.21.44.66,49780,443,6,1,1,0,60,60,0,60,60,0,1710449019739188000,1710449019739188000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
10.3.14.101,10.3.14.1,51964,53,17,2,1,1,293,107,186,293,107,186,1710448898108614000,1710448898109262000,648000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,146.5,0.00081500836,0
10.3.14.101,10.3.14.1,64623,53,17,8,4,4,1174,376,798,1174,376,798,1710448886790472000,1710448921055171000,34264699000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,146.75,0.000358587,0
10.3.14.101,91.134.150.150,49784,7000,6,45,23,22,3474,1992,1482,3474,1992,1482,1710448948912019000,1710449057160996000,108248977000,2,1,1,44,0,0,29,0,-,0,0,0,-,-,-,77.2,0.0035013298,0
10.3.14.101,162.125.8.15,49759,443,6,1,1,0,60,60,0,60,60,0,1710448878964774000,1710448878964774000,0,0,0,0,1,0,1,0,0,-,0,0,0,-,-,-,60.0,0.9561342,1
10.3.14.101,52.153.155.231,49770,443,6,1,1,0,60,60,0,60,60,0,1710448900356840000,1710448900356840000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
10.3.14.101,162.125.8.15,49759,443,6,1,1,0,60,60,0,60,60,0,1710448878964774000,1710448878964774000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,60.0,0.05866665,0
10.3.14.101,101.99.94.234,49766,8789,6,2,2,0,120,120,0,120,120,0,1710448906364312000,1710448906364358000,46000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.004777303,0
10.3.14.101,91.92.252.234,49775,3232,6,25,14,11,3918,1701,2217,3918,1701,2217,1710448908373430000,1710448921847235000,13473805000,2,1,1,24,0,1,12,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,156.72,0.9963697,1
162.125.8.15,10.3.14.101,443,49759,6,2,2,0,145,145,0,145,145,0,1710448878964578000,1710448878964578000,0,0,0,0,2,1,0,1,0,-,0,0,0,-,-,-,72.5,0.18086906,0
23.34.82.70,10.3.14.101,443,49772,6,2,2,0,138,138,0,138,138,0,1710448900358521000,1710448900358521000,0,0,0,0,2,1,0,1,0,-,0,0,0,-,-,-,69.0,0.2785714,0
10.3.14.101,104.17.123.55,49761,443,6,1,1,0,60,60,0,60,60,0,1710448890715706000,1710448890715706000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
10.3.14.101,10.3.14.1,58664,53,17,2,1,1,567,87,480,567,87,480,1710448898109004000,1710448898109492000,488000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,283.5,0.00037346207,0
104.17.123.55,10.3.14.101,443,49762,6,1,1,0,60,60,0,60,60,0,1710448921132743000,1710448921132743000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0
10.3.14.101,101.99.94.234,49764,8789,6,8,4,4,1741,415,1326,1741,415,1326,1710448894947663000,1710448905355145000,10407482000,2,1,1,7,1,0,3,0,-,0,0,0,-,-,-,217.625,0.025097143,0
10.3.14.101,104.17.123.55,49769,443,6,1,1,0,60,60,0,60,60,0,1710448900347962000,1710448900347962000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
52.153.155.231,10.3.14.101,443,49770,6,2,2,0,120,120,0,120,120,0,1710448900356715000,1710448900356715000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0
