client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
10.3.14.101,162.125.8.15,49759,443,6,1,1,0,60,60,0,60,60,0,1710448878964774000,1710448878964774000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,60.0,0.05866665,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
10.3.14.101,101.99.94.234,49766,8789,6,2,2,0,120,120,0,120,120,0,1710448906364312000,1710448906364358000,46000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.004777303,0,1,4.6e-05,60.0,2608695.652173913,120.0,0.0,1,1,28507481,1710448860
10.3.14.101,91.92.252.234,49775,3232,6,25,14,11,3918,1701,2217,3918,1701,2217,1710448908373430000,1710448921847235000,13473805000,2,1,1,24,0,1,12,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,156.72,0.9963697,1,1,13.473805,156.72,290.7864556448605,0.7672530446549392,1.3033509700176367,1,1,28507481,1710448860
162.125.8.15,10.3.14.101,443,49759,6,2,2,0,145,145,0,145,145,0,1710448878964578000,1710448878964578000,0,0,0,0,2,1,0,1,0,-,0,0,0,-,-,-,72.5,0.18086906,0,1,0.0,72.5,0.0,145.0,0.0,1,1,28507481,1710448860
23.34.82.70,10.3.14.101,443,49772,6,2,2,0,138,138,0,138,138,0,1710448900358521000,1710448900358521000,0,0,0,0,2,1,0,1,0,-,0,0,0,-,-,-,69.0,0.2785714,0,1,0.0,69.0,0.0,138.0,0.0,1,1,28507481,1710448860
10.3.14.101,104.17.123.55,49761,443,6,1,1,0,60,60,0,60,60,0,1710448890715706000,1710448890715706000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
10.3.14.101,10.3.14.1,58664,53,17,2,1,1,567,87,480,567,87,480,1710448898109004000,1710448898109492000,488000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,283.5,0.00037346207,0,1,0.000488,283.5,1161885.2459016393,0.18125,5.517241379310345,1,1,28507481,1710448860
104.17.123.55,10.3.14.101,443,49762,6,1,1,0,60,60,0,60,60,0,1710448921132743000,1710448921132743000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507482,1710448920
10.3.14.101,101.99.94.234,49764,8789,6,8,4,4,1741,415,1326,1741,415,1326,1710448894947663000,1710448905355145000,10407482000,2,1,1,7,1,0,3,0,-,0,0,0,-,-,-,217.625,0.025097143,0,1,10.407482,217.625,167.28349854460473,0.3129713423831071,3.1951807228915663,1,1,28507481,1710448860
10.3.14.101,104.17.123.55,49769,443,6,1,1,0,60,60,0,60,60,0,1710448900347962000,1710448900347962000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,0,28507481,1710448860
